repo,test_acc_1_epoch,test_precision_1_epoch,test_recall_1_epoch,test_f1_marco_1_epoch,test_f1_marco_weight_1_epoch,test_f1_mirco_1_epoch,test_acc_2_epoch,test_precision_2_epoch,test_recall_2_epoch,test_f1_marco_2_epoch,test_f1_marco_weight_2_epoch,test_f1_mirco_2_epoch
framework_newlabel_clean_TRAIN_Aug_times_0,0.6179367303848267,0.6179367303848267,0.6179367303848267,0.4323563575744629,0.6078852415084839,0.6179367303848267,0.8522550463676453,0.4261275231838226,0.8522550463676453,0.4303167462348938,0.5873731374740601,0.5681700706481934
framework_newlabel_clean_TRAIN_Aug_times_1,0.6236391663551331,0.6236391663551331,0.6236391663551331,0.4436281621456146,0.6164690852165222,0.6236391663551331,0.8496630191802979,0.4248315095901489,0.8496630191802979,0.4285516738891601,0.590308427810669,0.5664420127868652
framework_newlabel_clean_TRAIN_Aug_times_2,0.59305340051651,0.59305340051651,0.59305340051651,0.3946244120597839,0.5868165493011475,0.59305340051651,0.841368556022644,0.420684278011322,0.841368556022644,0.417608380317688,0.5837463140487671,0.5609124302864075
framework_newlabel_clean_TRAIN_Aug_times_3,0.6122342944145203,0.6122342944145203,0.6122342944145203,0.420304000377655,0.6062650084495544,0.6122342944145203,0.8491446375846863,0.4245723187923431,0.8491446375846863,0.4273269176483154,0.5915290117263794,0.5660964250564575
framework_newlabel_clean_TRAIN_Aug_times_4,0.6070502996444702,0.6070502996444702,0.6070502996444702,0.4183485507965088,0.5986631512641907,0.6070502996444702,0.8444790244102478,0.4222395122051239,0.8444790244102478,0.4149420857429504,0.5867012739181519,0.5629860162734985
framework_newlabel_clean_TRAIN_Aug_times_0,0.6111975312232971,0.6111975312232971,0.6111975312232971,0.4326080083847046,0.6026604175567627,0.6111975312232971,0.842405378818512,0.421202689409256,0.842405378818512,0.4159866571426391,0.5814547538757324,0.5616035461425781
framework_newlabel_clean_TRAIN_Aug_times_0,0.6111975312232971,0.6111975312232971,0.6111975312232971,0.44143152236938477,0.6062681078910828,0.6111975312232971,0.842405378818512,0.421202689409256,0.842405378818512,0.41778770089149475,0.5842785835266113,0.5616035461425781
framework_newlabel_clean_TRAIN_Aug_times_1,0.6111975312232971,0.6111975312232971,0.6111975312232971,0.42370009422302246,0.609123945236206,0.6111975312232971,0.8558838963508606,0.4279419481754303,0.8558838963508606,0.43202337622642517,0.5972376465797424,0.5705892443656921
framework_newlabel_clean_TRAIN_Aug_times_2,0.6086055040359497,0.6086055040359497,0.6086055040359497,0.42619454860687256,0.6042550802230835,0.6086055040359497,0.842405378818512,0.421202689409256,0.842405378818512,0.41847267746925354,0.5867961645126343,0.5616035461425781
framework_newlabel_clean_TRAIN_Aug_times_3,0.6226024031639099,0.6226024031639099,0.6226024031639099,0.4455512762069702,0.6152784824371338,0.6226024031639099,0.8496630191802979,0.4248315095901489,0.8496630191802979,0.42939502000808716,0.5902280807495117,0.5664420127868652
